"ZE","ENDEREÇO","BAIRRO","CIDADE","TELEFONES","E-MAIL","JUIZ","MAPA"
"125","RUA MARTINHO DE CAMPOS, S/N (POSTO AGRICOLA)","SANTA CRUZ","RIO DE JANEIRO","(21) 2418-8002(21) 3427-8390","zon125@tre-rj.jus.br","BRUNO VINICIUS DA ROS BODART DA COSTA","Visualizar"
"161","RUA LUCENA, S/N,OLARIA (ANTIGO FÓRUM,ATRÁS DO CLUBE OLARIA) 21.021-320","OLARIA","RIO DE JANEIRO","(21) 2270-2558(21) 2270-2558","zon161@tre-rj.jus.br","SÉRGIO ROBERTO EMÍLIO LOUZADA","Visualizar"
"162","RUA FILOMENA NUNES, 961","OLARIA","RIO DE JANEIRO","(21) 2561-2969(21) 2560-5250","zon162@tre-rj.jus.br","RITA DE CASSIA VERGETTE CORREIA AIDAR","Visualizar"
"167","RUA ITAPERA, 500, LOJAS 150 E 151 (VIA BRASIL SHOPPING)","IRAJÁ","RIO DE JANEIRO","(21) 2474-4848","zon167@tre-rj.jus.br","ALBERTO SALOMÃO JUNIOR","Visualizar"
"169","RUA SACADURA CABRAL, 226, FUNDOS","SAUDE","RIO DE JANEIRO","(21) 3890-1613","zon169@tre-rj.jus.br","HELENA DIAS TORRES DA SILVA","Visualizar"
"170","AV. PROFESSOR MANOEL DE ABREU, 286","MARACANÃ","RIO DE JANEIRO","(21) 2284-5504(21) 2254-1453","zon170@tre-rj.jus.br","SANDRO PITTHAN ESPINDOLA","Visualizar"
"176","AV MONSENHOR FELIX, 512","IRAJÁ","RIO DE JANEIRO","(21) 2482-8157(21) 2482-8157","zon176@tre-rj.jus.br","LIVINGSTONE DOS SANTOS SILVA FILHO","Visualizar"
"179","AV. AYRTON SENNA 2001 BLOCO C BARRA DA TIJUCA","BARRA DA TIJUCA","RIO DE JANEIRO","(21) 3325-8600(21) 2431-4338","zon179@tre-rj.jus.br","LUIZ FELIPE NEGRÃO","Visualizar"
"180","RUA GODOFREDO VIANA, 400","TAQUARA","RIO DE JANEIRO","(21) 2427-0897(21) 2423-5921","zon180@tre-rj.jus.br","ARTHUR EDUARDO MAGALHÃES FERREIRA","Visualizar"
"182","RUA GODOFREDO VIANA, 400","TAQUARA","RIO DE JANEIRO","(21) 2423-5931","zon182@tre-rj.jus.br","MARISA SIMÕES MATTOS PASSOS","Visualizar"
"185","RUA GODOFREDO VIANA, 400","TAQUARA","RIO DE JANEIRO","(21) 2423-5911(21) 2423-5954","zon185@tre-rj.jus.br","MYLENE GLORIA PINTO VASSAL","Visualizar"
"188","AV. VICENTE DE CARVALHO, 909, LJ. 115/116, 2 PISO, CARIOCA SHOPPING","VILA DA PENHA","RIO DE JANEIRO","(21) 3869-9777","zon188@tre-rj.jus.br","VALÉRIA PACHÁ BICHARA","Visualizar"
"191","ESTRADA DA CACUIA, 1574","ILHA DO GOVERNADOR","RIO DE JANEIRO","(21) 2467-3321","zon191@tre-rj.jus.br","MIRELA ERBISTI","Visualizar"
"192","RUA ORCADAS 435 - SALA 12 - XX RA (SUBPREFEITURA DAS ILHAS)","PORTUGUESA","RIO DE JANEIRO","(21) 3393-3732","zon192@tre-rj.jus.br","SYLVIA THEREZINHA HAUSEN DE ARÊA LEÃO - MAGISTRADA TITULAR","Visualizar"
"204","RUA SACADURA CABRAL, 226","SAUDE","RIO DE JANEIRO","(21) 2213-0464(21) 2253-6661","zon204@tre-rj.jus.br","FLAVIO ITABAIANA DE OLIVEIRA NICOLAU","Visualizar"
"211","RUA JARDIM BOTÂNICO, 1060","JARDIM BOTÂNICO","RIO DE JANEIRO","(21) 2249-7610(21) 2259-6534","zon211@tre-rj.jus.br","CARLOS AUGUSTO BORGES","Visualizar"
"214","RUA DIAS DA CRUZ, 787","MEIER","RIO DE JANEIRO","(21) 2595-5256(21) 2229-4493","zon214@tre-rj.jus.br","JOÃO FELIPE NUNES FERREIRA MOURÃO","Visualizar"
"216","AVENIDA DOM HÉLDER CÂMARA, 4175, 2 ANDAR","DEL CASTILHO","RIO DE JANEIRO","(21) 2228-0678","zon216@tre-rj.jus.br","VELEDA SUZETE SALDANHA CARVALHO","Visualizar"
"218","RUA SIDÔNIO PAES, 54, LOJAS 4 E 5","CASCADURA","RIO DE JANEIRO","(21) 3350-1575(21) 2269-9947","zon218@tre-rj.jus.br","FLORENTINA FERREIRA BRUZZI PORTO","Visualizar"
"219","RUA SIDÔNIO PAES, 54, LOJA 06","CASCADURA","RIO DE JANEIRO","(21) 2450-4080(21) 2452-7524","zon219@tre-rj.jus.br","LUIS CARLOS NEVES VELOSO","Visualizar"
"229","AV. PROFESSOR MANOEL DE ABREU, 286","MARACANÃ","RIO DE JANEIRO","(21) 2204-4404(21) 2569-7606","zon229@tre-rj.jus.br","RUDI BALDI LOEWENKRON","Visualizar"
"230","AV. MARECHAL FONTENELLE, 4.650","MAGALHÃES BASTOS","RIO DE JANEIRO","(21) 2419-5665","zon230@tre-rj.jus.br","MARCOS BORBA CARUGGI","Visualizar"
"233","AVENIDA MARECHAL FONTENELE, 4650","MAGALHÃES BASTOS","RIO DE JANEIRO","(21) 3332-2033(21) 3332-0995","zon233@tre-rj.jus.br","MIRIAN TEREZA CASTRO NEVES DE SOUZA LIMA","Visualizar"
"234","AV. MARECHAL FONTENELE, 4650 (AO LADO DA CEF)","JARDIM SULACAP","RIO DE JANEIRO","(21) 3331-1845","zon234@tre-rj.jus.br","GEORGIA VASCONCELLOS DA CRUZ","Visualizar"
"238","AVENIDA MARECHAL FONTENELLE, 4650","MAGALHÃES BASTOS","RIO DE JANEIRO","(21) 2419-5971(21) 2419-5971","zon238@tre-rj.jus.br","MARCIA DA SILVA RIBEIRO","Visualizar"
"241","RUA MARTINHO DE CAMPOS, S/N (POSTO AGRÍCOLA)","SANTA CRUZ","RIO DE JANEIRO","(21) 2418-8004","zon241@tre-rj.jus.br","RAFAEL LUPI RIBEIRO MARTINS","Visualizar"
"242","ESTRADA DO MENDANHA, 555 - 3 PISO (WEST SHOPPING)","CAMPO GRANDE","RIO DE JANEIRO","(21) 2415-5249","zon242@tre-rj.jus.br","JOSE GUILHERME VASI WERNER","Visualizar"
"243","RUA MARTINHO DE CAMPOS, S/N (POSTO AGRÍCOLA)","SANTA CRUZ","RIO DE JANEIRO","(21) 2418-8006","zon243@tre-rj.jus.br","MARCELO OLIVEIRA DA SILVA","Visualizar"
"245","ESTRADA DO MENDANHA, 555 - 3 PISO (WEST SHOPPING)","CAMPO GRANDE","RIO DE JANEIRO","(21) 3394-0789(21) 2418-6226","zon245@tre-rj.jus.br","TULA CORREA DE MELLO","Visualizar"
"246","RUA MARTINHO DE CAMPOS, S/N  (POSTO AGRÍCOLA)","SANTA CRUZ","RIO DE JANEIRO","(21) 3395-4958","zon246@tre-rj.jus.br","FLAVIA DE ALMEIDA VIVEIROS DE CASTRO","Visualizar"
